Product,Lens_Design,Rx_Type,Frame_Type_Plus,Frame_Type_Minus,Index,,Clear_Photo_Tint_Pol,Extra_Note,,Uv_400_Rm,Blf_Rm,,Intro,Spacer,Description1,Description2,Description3
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,-,3000,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Changes to grey in the sun and back to clear when indoor.,1.67 index is an ultra thin material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Clear,-,Clear transparent lenses.,2300,2400,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Clear transparent lenses.,1.67 index is an ultra thin material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Pol,Grey,Polarize available in grey colour.,2700,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Polarize available in grey colour.,1.67 index is an ultra thin material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.74,1.74 index is the thinnest material.,Tint,Any Colour,Can be tinted to any colour.,3300,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Can be tinted to any colour.,1.74 index is the thinnest material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.74,1.74 index is the thinnest material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,-,3800,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Changes to grey in the sun and back to clear when indoor.,1.74 index is the thinnest material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.74,1.74 index is the thinnest material.,Clear,-,Clear transparent lenses.,3100,3300,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Clear transparent lenses.,1.74 index is the thinnest material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Polycarb,Polycarb is a thin material that does not break easily.,Tint,Any Colour,Can be tinted to any colour.,2300,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Can be tinted to any colour.,Polycarb is a thin material that does not break easily.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Polycarb,Polycarb is a thin material that does not break easily.,Clear,-,Clear transparent lenses.,2100,2300,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Clear transparent lenses.,Polycarb is a thin material that does not break easily.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Trivex,Trivex is a material that does not break easily.,Tint,Any Colour,Can be tinted to any colour.,2100,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Can be tinted to any colour.,Trivex is a material that does not break easily.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Trivex,Trivex is a material that does not break easily.,Clear,-,Clear transparent lenses.,1900,2100,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Clear transparent lenses.,Trivex is a material that does not break easily.
